"","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"6869","TWF1",1475.03170875256,-0.162625675254446,0.0675843496331258,-2.40626233939131,0.0161166866287654,0.0460272298146005
"6870","ZNF33B",539.198499620133,0.260528981450183,0.108281345013121,2.40603754431212,0.0161266072854207,0.0460488580957929
"6871","MTERF3",606.824236680615,0.215551739743881,0.0896021875871187,2.40565264697699,0.0161436060386431,0.046088949199367
"6872","KBTBD6",431.581642440608,0.234517648484177,0.0974876769099812,2.40561326228675,0.0161453463270658,0.046088949199367
"6873","MED28P3",1.99596953195965,-3.61333245195414,1.50221305228035,-2.40533953986695,0.0161574458355507,0.0461167779653715
"6874","TMEM169",7.80851821043929,1.31580132683284,0.547110706087134,2.4050001438343,0.0161724594189258,0.0461529148124917
"6875","LINC02582",31.1522049306579,-1.44252225658131,0.599820013950478,-2.4049251826072,0.0161757770697538,0.0461556681857978
"6876","TAF10",86.4190287826284,-0.508582039830786,0.211492136277106,-2.40473262402731,0.0161843021125753,0.0461598509075879
"6877","RTN4RL1",67.9739667259418,-1.4416403386274,0.599477796869639,-2.40482691128075,0.016180127290278,0.0461598509075879
"6878","ENPEP",77.2556214529808,-3.09747206309272,1.28805557959608,-2.40476584408265,0.0161828310970758,0.0461598509075879
"6879","RAB39A",1.85790456980831,-3.60613011494028,1.49982501860952,-2.40436722297346,0.0162004901742143,0.046199304513383
"6880","MARK2P12",5.39688614161135,1.66502581756195,0.69253868341051,2.40423510981695,0.0162063465761046,0.0462092879045703
"6881","PYGB",1604.25710988543,0.222517395386663,0.0925635464297353,2.4039419833117,0.0162193471313658,0.046237287521646
"6882","CD101-AS1",24.380546815732,-1.45231438664709,0.604147386164298,-2.40390742376254,0.0162208804977299,0.046237287521646
"6883","EPHA2",3412.90022141733,-0.297072955118371,0.123588570543712,-2.4037251487855,0.0162289699311547,0.0462536253289933
"6884","ZFAND4",119.453505643454,0.41988771135556,0.174689008726968,2.40362982431154,0.0162332018795768,0.0462589659023326
"6885","TMEM74B",53.9965858433973,-0.978389595347825,0.407190759176194,-2.40277946711573,0.016270996584001,0.0463599331863977
"6886","GALNT2",1800.08985818432,-0.224451378185985,0.0934201731886515,-2.40260075019055,0.0162789496053876,0.0463758574511892
"6887","TUFT1",345.409626491558,-0.403466345337292,0.167933277915168,-2.40253957015657,0.0162816729420835,0.0463768808051187
"6888","BTBD2",1264.59541646421,0.206156090904563,0.0858165349901142,2.40228868397345,0.0162928449485122,0.0463952299833016
"6889","TXNL4A",792.333769662106,-0.214002317143811,0.0890813167539437,-2.40232548127817,0.0162912059365645,0.0463952299833016
"6890","OIT3",3.15990398171537,-2.39899717582111,0.998725935565109,-2.40205755191857,0.0163031432608079,0.0464178173218097
"6891","DNAAF1",23.744279416384,0.774112032858209,0.322282624116637,2.40196639511676,0.0163072064127344,0.0464226481205355
"6892","KRR1P1",25.4062101135333,-1.24056993663657,0.516568890941605,-2.40155758194275,0.0163254394762064,0.0464678099542574
"6893","RASSF9",40.4236677075097,-3.09475040876352,1.28883808940584,-2.4011940942793,0.0163416660632713,0.0465072483915846
"6894","SMC3",2448.22727990065,-0.14853477475422,0.0618626086906192,-2.40104285768252,0.0163484216455051,0.046519725474307
"6895","IFITM3P5",3.88410097280714,-2.40313235319118,1.00092210683637,-2.40091844987498,0.0163539806527564,0.0465287945562178
"6896","AKAP12",18206.8420898466,-0.786585642419372,0.327671959761067,-2.40052778087248,0.0163714480058275,0.0465717365908234
"6897","NCBP3",1996.87992722302,0.15859838732017,0.0660702824288205,2.40044966496144,0.0163749426423005,0.0465749238529809
"6898","FECH",605.685028458835,0.249941056870766,0.104134905794805,2.40016596705112,0.0163876398211822,0.046604281004948
"6899","LINC02939",9.11780200850955,-1.44716363353676,0.60295937684057,-2.40010138182064,0.016390531605073,0.0466057484413274
"6900","HCG18",26.2717316805374,-0.703894637363116,0.293292564696672,-2.39997436720257,0.0163962199534238,0.0466151662067123
"6901","MRPL28",1697.52210859869,0.206521252120128,0.0860579706404198,2.39979226309026,0.0164043785099738,0.046631603134351
"6902","BCCIP",1616.93511891188,-0.165352427301363,0.0689051340585176,-2.39971127784088,0.0164080079246912,0.046635162483145
"6903","DHTKD1",947.526233725053,-0.213350386347392,0.0889131147861358,-2.39953787313117,0.0164157815592768,0.0466375548021244
"6904","RPA3",612.479300727761,-0.280067740030262,0.116717497281728,-2.39953517298478,0.0164159026308825,0.0466375548021244
"6905","PXN-AS1",85.9304594739047,0.478349449031485,0.199351027069228,2.39953340629326,0.0164159818478192,0.0466375548021244
"6906","UBXN7",1963.61767109308,0.154186251177477,0.0642714912254967,2.3989835654585,0.0164406525627833,0.0467008805855951
"6907","DPRXP3",2.28887351625785,-3.62130402269269,1.50957148688257,-2.39889535153521,0.0164446136486527,0.0467053693275835
"6908","ZNF791",460.500194954615,0.264371691192046,0.110216445728215,2.39865919686764,0.0164552218712192,0.0467287329831654
"6909","SPPL3",1022.269399076,-0.197353644892477,0.0822934172932349,-2.39817049022584,0.0164771939875223,0.0467843558334382
"6910","H1-0",6743.41003262989,0.457103189666118,0.190643814308266,2.39768172560267,0.0164991944816954,0.0468400431472387
"6911","SWI5",295.661994207845,0.222138234057033,0.0926616638086516,2.39730461257153,0.0165161868936268,0.0468814988123681
"6912","RNFT2",162.259230745999,0.41434506888877,0.172854282948502,2.39707724807846,0.0165264391816807,0.0469038132851607
"6913","STAU2",599.161781518436,-0.224979141576888,0.0938633638352827,-2.39687916972266,0.0165353754588363,0.0469223868618532
"6914","ODCP",14.633026333106,-1.41502740509061,0.590417974129374,-2.39665367094761,0.0165455539699801,0.0469444796397309
"6915","SNRPE",538.888153004898,0.187356900308338,0.0781766051149739,2.39658527039891,0.0165486425055445,0.0469464526437118
"6916","ALG13",761.435359836608,0.228118936049869,0.0952371651188534,2.39527222135585,0.0166080297186587,0.0471081143711578
"6917","LNMICC",9.55212249965538,-1.51582497463023,0.632913410710476,-2.39499582245957,0.0166205546387829,0.0471368252636988
"6918","ZFP30",145.671719689333,0.297587641812449,0.124275324760414,2.39458349745742,0.0166392544195804,0.0471830375757312
"6919","PITPNM2-AS1",4.08540229331085,-2.07643287731363,0.867195209939305,-2.39442383158338,0.0166465005536665,0.0471967627346837
"6920","SCHIP1",33.0410671516712,-0.889926975974971,0.371721823459673,-2.39406706792806,0.0166627016119822,0.0472358695841409
