"","gene_name","baseMean.MDA24h10w_24h","log2FoldChange.MDA24h10w_24h","lfcSE.MDA24h10w_24h","stat.MDA24h10w_24h","pvalue.MDA24h10w_24h","padj.MDA24h10w_24h","baseMean.MDA24h10w_10w","log2FoldChange.MDA24h10w_10w","lfcSE.MDA24h10w_10w","stat.MDA24h10w_10w","pvalue.MDA24h10w_10w","padj.MDA24h10w_10w"
"3166","CSNK1E",3194.81400748388,0.777219494026441,0.132518652682529,5.8649818594851,4.49181803517312e-09,1.20883151621346e-07,3194.81400748388,0.928774941492501,0.152931401480913,6.07314738829761,1.25427234818468e-09,1.99559359720843e-08
"3440","DCHS1",28.7897951802352,0.304926023503611,0.347989454524294,0.876250758576717,0.380893727903154,0.555590291079823,28.7897951802352,-0.0888662215057499,0.3951222015474,-0.224908195889087,0.822050693234784,0.897709175787675
"3684","DLG1",7901.66659770943,0.487975969942651,0.0937800249282635,5.20341053775497,1.95663966125366e-07,3.19043969811048e-06,7901.66659770943,0.351109707486426,0.109013872068994,3.22078007892622,0.00127842208255201,0.00534451863927191
"3687","DLG3",1089.22360825549,0.491833309937842,0.106614200775121,4.61320636802646,3.96504269743975e-06,4.41313488914288e-05,1089.22360825549,-0.95757800408483,0.125633578797349,-7.62199097766241,2.49792499787339e-14,8.48544653123746e-13
"3688","DLG4",1000.46226476364,0.484761414096854,0.183503692584633,2.641698416359,0.0082491473018819,0.0290063344761169,1000.46226476364,0.852181995580293,0.210289894164948,4.05241535245557,5.06915671193614e-05,0.000311654164435707
"3969","DVL2",3216.06836522164,-0.0477268745672191,0.0903995183884465,-0.527954965004757,0.597530593728064,0.744575244152989,3216.06836522164,0.577276949385602,0.103734936191005,5.56492316458047,2.6226794516907e-08,3.33470745451628e-07
"4832","FAT4",2825.61508599958,-0.152194162392339,0.145949824141336,-1.04278414371336,0.29704827669817,0.468316496062251,2825.61508599958,-1.48364347653208,0.175401587781688,-8.45855214479976,2.70717567455961e-17,1.40850927481541e-15
"5163","FRMD6",10578.2267179007,0.283195270884439,0.0999414739800317,2.83361110864766,0.00460253048515536,0.0179756528079248,10578.2267179007,0.51480725126492,0.115439784851762,4.4595305849365,8.21393519517292e-06,6.12526814842672e-05
"6733","IQCJ-SCHIP1",158.431091697256,-0.325379492449525,0.30328751811175,-1.07284168657952,0.283342153482717,0.454106512251964,158.431091697256,0.191026693161342,0.348968931323051,0.547403152587536,0.584101789878508,0.728156637809162
"6782","ITCH",1880.25371906579,0.641811908261728,0.133885839399738,4.79372509549345,1.63712576543507e-06,1.99657183569726e-05,1880.25371906579,0.00949255187794115,0.157589690904347,0.0602358683710022,0.951967778738828,0.975236426493449
"7348","LATS1",1139.16277743119,0.428397697410366,0.122501840036445,3.49707153201057,0.000470395681321304,0.00267065300571903,1139.16277743119,0.0355844339252628,0.143628504797606,0.247753285292545,0.804325301101819,0.885834178938537
"7349","LATS2",2115.87624919341,-0.0289352012543155,0.119979027947627,-0.241168825496288,0.809424271524179,0.890653389681859,2115.87624919341,0.598791115270062,0.139848473340767,4.28171363595079,1.85459552504585e-05,0.000126810070152871
"7449","LIMD1",1250.11133898112,0.363837027532138,0.131052900323493,2.77626078197458,0.00549880833739558,0.020775100925667,1250.11133898112,0.00581971540231202,0.152610128243045,0.0381345292695359,0.969580420947533,0.98536276951482
