"","gene_name","MDA 24h","MDA 10w"
"8864","MKLN1",-0.291673839384509,-0.579291633659924
"8878","MLH1",-0.693492524019024,-0.740544373569904
"8904","MMP16",-0.994372622361569,-2.28942598383959
"8962","MPC1",-0.229908113676272,-0.364158415367331
"8964","MPC2",-0.262154879925197,-0.415048392823381
"9260","MUC1",-0.908611193074435,-2.60078685761777
"9341","MYO18A",-0.962890071949041,-0.489120909849201
"9476","NBN",-0.228857863317498,-0.649488940959056
"9499","NCAPG",-0.38347677239083,-1.23646051564732
"9502","NCAPH2",-0.363625407495426,-0.381112507655228
"9534","NDC1",-0.21684979039529,-0.668290450555406
"9549","NDST3",-2.34305547891491,-3.75987349496009
"9632","NEK7",-0.382010158864362,-0.329952810950579
"9684","NFKBIA",-0.989424356770521,-0.763049654540232
"9700","NGFR",-1.21823312685164,-6.03478548417596
"10077","NUP42",-0.251568400961735,-0.331130684171944
"10079","NUP50",-0.464666019455479,-0.386067283504571
"10083","NUP62",-0.391803324993755,-0.383340856050119
"10208","ORC1",-0.652240013188194,-0.964733756302492
"10212","ORC5",-0.581534569833596,-0.514821448711464
"10444","PC",-0.766164112025054,-0.899051460326398
"10585","PDGFC",-0.342838799935293,-1.05496751686884
"10588","PDGFRB",-1.0277420949557,-1.46967522187609
"10602","PDK2",-0.749630899666987,-0.445961247982484
"10620","PDS5B",-0.22304406667957,-0.473815036017219
"10698","PGAM1",-0.406610362930501,-0.460489873940862
"10849","PIK3C2B",-0.656648331887195,-2.51737054582811
"10857","PIK3R1",-0.515599700297866,-0.577968521335288
"10859","PIK3R3",-1.01672199647003,-3.12354244604262
"10921","PKM",-0.571633292343755,-0.882148111238721
"11130","POLA1",-0.408548580903479,-0.626181799238379
"11131","POLA2",-0.566170909324514,-0.536230226849923
"11140","POLE2",-0.31296888126607,-0.588991089594497
"11176","POLR2L",-0.34684035065179,-0.32648623753815
"11251","PPIA",-0.316302767818583,-0.472868023876862
"11286","PPM1D",-0.413860811808455,-0.530145724428175
"11346","PPP2R1B",-0.768652330491888,-0.473464115616026
"11378","PPP6C",-0.232214397590818,-0.214509686551387
"11610","PSMA2",-0.70846826430776,-1.19015936311128
"11611","PSMA3",-0.162710383066282,-0.297715553798828
"11613","PSMA4",-0.239008859610574,-0.271900673370468
"11620","PSMB2",-0.278690572257764,-0.486568021926919
"11625","PSMC1",-0.273980962745475,-0.463948231374086
"11627","PSMC2",-0.2365527970453,-0.47284609280824
"11656","PSME3",-0.341416939731646,-0.266043275818248
"11818","PYGB",-0.370205238688857,-0.348120832692638
"11960","RAD51C",-1.0054476991135,-0.781215962082592
"11996","RAN",-0.240179045638526,-0.675306410086078
