"","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"96","NMRAL2P",184.106747311906,1.97128590105794,0.230391223761391,8.55625430897287,1.16593942505912e-17,2.16859972741837e-15
"97","LBH",920.473525348379,-1.30060217424604,0.152925684299896,-8.50479878641893,1.81910816808843e-17,3.32090385984639e-15
"98","TLR3",169.118916290493,-2.42332202906362,0.285394088175281,-8.49114305260341,2.04614519590698e-17,3.69725909480825e-15
"99","OSTM1",1094.79386596964,-1.16111571515136,0.137164183514144,-8.46515238456273,2.55817996959456e-17,4.57578291935157e-15
"100","BMAL2",4339.78688532841,0.998907988715498,0.11813035358253,8.45598068931219,2.7675140983151e-17,4.90071396529638e-15
"101","NLGN3",89.2790653794631,2.26712541738215,0.268256234449154,8.45134288132219,2.87971167866407e-17,5.04890439661222e-15
"102","SPATA5",938.388298799787,-0.669416450487875,0.0792247939202387,-8.44958272989419,2.92345781720257e-17,5.07535206147285e-15
"103","DPP3",2405.83372227516,-0.803027862489451,0.0952547776493541,-8.43031585717943,3.44733455188104e-17,5.92673788783587e-15
"104","LINC02615",166.54507788783,-2.24676950007915,0.266687662860283,-8.42472229866976,3.61606851266863e-17,6.15705204060923e-15
"105","TAF4B",484.685301983553,1.10702116798523,0.131461843223747,8.42085536638255,3.73745437897684e-17,6.30312782313542e-15
"106","SLC7A11",2583.39497281867,1.48551614966816,0.177117561489815,8.38717593655207,4.97959488255607e-17,8.31874209248141e-15
"107","POU2F2",2624.98242848647,1.10017284932057,0.131449342633145,8.36955763552952,5.78349353524011e-17,9.57141154411513e-15
"108","CASD1",462.944356351971,-0.905654933486109,0.108397258594807,-8.35496160351694,6.54539995836332e-17,1.0732031709509e-14
"109","ZNF83",1897.49108929193,0.905488542062064,0.108433031001127,8.3506707661123,6.78763797624422e-17,1.10271094755351e-14
"110","MAFF",1870.16767485638,1.11849031005113,0.134080405319636,8.34193711888583,7.30833156541653e-17,1.17650850327633e-14
"111","ATP6V0D1",2293.99137624887,-0.893461208962115,0.107288496873498,-8.32765147241813,8.24618593520285e-17,1.31552667153669e-14
"112","S100A3",877.255814305994,-1.21630524542437,0.146329565014179,-8.31209499807172,9.40271036764208e-17,1.48663567134112e-14
"113","PER1",866.84868201372,1.51758663383761,0.182953147702036,8.29494683693119,1.08633777862552e-16,1.70237782158413e-14
"114","MCEE",302.583239657998,2.03695582099307,0.245751845423792,8.28866948071295,1.14522293312243e-16,1.77891295611685e-14
